date,researcher,species,spawning_time,obsv_time,plate_letter,cell_num,stage,water_temp_(è_C),pH,comments
8/4/18,Miller,B1,10:00,12:22,A,1,0,24,8.2,Day 1 Trials Begin
8/4/18,Miller,B1,10:00,12:22,A,2,1,24,8.2,
8/4/18,Miller,B1,10:00,12:22,A,3,1,24,8.2,
8/4/18,Miller,B1,10:00,12:22,A,4,1,24,8.2,
8/4/18,Miller,B1,10:00,12:22,A,5,1,24,8.2,
8/4/18,Miller,B1,10:00,12:22,A,6,0,24,8.2,
8/4/18,Miller,B1,10:00,12:22,B,1,0,24,7.8,
8/4/18,Miller,B1,10:00,12:22,B,2,0,24,7.8,
8/4/18,Miller,B1,10:00,12:22,B,3,1,24,7.8,
8/4/18,Miller,B1,10:00,12:22,B,4,1,24,7.8,
8/4/18,Miller,B1,10:00,12:22,B,5,0,24,7.8,
8/4/18,Miller,B1,10:00,12:22,B,6,1,24,7.8,
8/4/18,Miller,B1,10:00,12:22,C,1,1,24,7.5,
8/4/18,Miller,B1,10:00,12:22,C,2,1,24,7.5,
8/4/18,Miller,B1,10:00,12:22,C,3,0,24,7.5,
8/4/18,Miller,B1,10:00,12:22,C,4,1,24,7.5,
8/4/18,Miller,B1,10:00,12:22,C,5,1,24,7.5,
8/4/18,Miller,B1,10:00,12:22,C,6,1,24,7.5,
8/4/18,Miller,B1,10:00,12:22,D,1,0,24,7.5,
8/4/18,Miller,B1,10:00,12:22,D,2,1,24,7.5,
8/4/18,Miller,B1,10:00,12:22,D,3,1,24,7.5,
8/4/18,Miller,B1,10:00,12:22,D,4,1,24,7.5,
8/4/18,Miller,B1,10:00,12:22,D,5,1,24,7.5,
8/4/18,Miller,B1,10:00,12:22,D,6,0,24,7.5,
8/4/18,Miller,B2,10:00,12:22,A,1,1,24,8.2,
8/4/18,Miller,B2,10:00,12:22,A,2,1,24,8.2,
8/4/18,Miller,B2,10:00,12:22,A,3,0,24,8.2,
8/4/18,Miller,B2,10:00,12:22,A,4,1,24,8.2,
8/4/18,Miller,B2,10:00,12:22,A,5,0,24,8.2,
8/4/18,Miller,B2,10:00,12:22,A,6,1,24,8.2,
8/4/18,Miller,B2,10:00,12:22,B,1,1,24,7.8,
8/4/18,Miller,B2,10:00,12:22,B,2,1,24,7.8,
8/4/18,Miller,B2,10:00,12:22,B,3,0,24,7.8,
8/4/18,Miller,B2,10:00,12:22,B,4,1,24,7.8,
8/4/18,Miller,B2,10:00,12:22,B,5,1,24,7.8,
8/4/18,Miller,B2,10:00,12:22,B,6,1,24,7.8,
8/4/18,Miller,B2,10:00,12:22,C,1,1,24,7.5,
8/4/18,Miller,B2,10:00,12:22,C,2,1,24,7.5,
8/4/18,Miller,B2,10:00,12:22,C,3,1,24,7.5,
8/4/18,Miller,B2,10:00,12:22,C,4,0,24,7.5,
8/4/18,Miller,B2,10:00,12:22,C,5,1,24,7.5,
8/4/18,Miller,B2,10:00,12:22,C,6,1,24,7.5,
8/4/18,Miller,B2,10:00,12:22,D,1,0,24,7.8,
8/4/18,Miller,B2,10:00,12:22,D,2,0,24,7.8,
8/4/18,Miller,B2,10:00,12:22,D,3,0,24,7.8,
8/4/18,Miller,B2,10:00,12:22,D,4,1,24,7.8,
8/4/18,Miller,B2,10:00,12:22,D,5,1,24,7.8,
8/4/18,Miller,B2,10:00,12:22,D,6,1,24,7.8,
8/4/18,Miller,D,10:00,12:22,A,1,1,24,8.2,
8/4/18,Miller,D,10:00,12:22,A,2,1,24,8.2,
8/4/18,Miller,D,10:00,12:22,A,3,1,24,8.2,
8/4/18,Miller,D,10:00,12:22,A,4,1,24,8.2,
8/4/18,Miller,D,10:00,12:22,A,5,1,24,8.2,
8/4/18,Miller,D,10:00,12:22,A,6,0,24,8.2,
8/4/18,Miller,D,10:00,12:22,B,1,1,24,7.8,
8/4/18,Miller,D,10:00,12:22,B,2,1,24,7.8,
8/4/18,Miller,D,10:00,12:22,B,3,0,24,7.8,
8/4/18,Miller,D,10:00,12:22,B,4,0,24,7.8,
8/4/18,Miller,D,10:00,12:22,B,5,0,24,7.8,
8/4/18,Miller,D,10:00,12:22,B,6,0,24,7.8,
8/4/18,Miller,D,10:00,12:22,C,1,0,24,7.5,
8/4/18,Miller,D,10:00,12:22,C,2,0,24,7.5,
8/4/18,Miller,D,10:00,12:22,C,3,0,24,7.5,
8/4/18,Miller,D,10:00,12:22,C,4,1,24,7.5,
8/4/18,Miller,D,10:00,12:22,C,5,1,24,7.5,
8/4/18,Miller,D,10:00,12:22,C,6,1,24,7.5,
8/4/18,Miller,B1,10:00,13:09,A,1,1,24,8.2,
8/4/18,Miller,B1,10:00,13:09,A,2,1,24,8.2,
8/4/18,Miller,B1,10:00,13:09,A,3,1,24,8.2,
8/4/18,Miller,B1,10:00,13:09,A,4,1,24,8.2,
8/4/18,Miller,B1,10:00,13:09,A,5,0,24,8.2,
8/4/18,Miller,B1,10:00,13:09,A,6,1,24,8.2,
8/4/18,Miller,B1,10:00,13:09,B,1,2,24,7.8,
8/4/18,Miller,B1,10:00,13:09,B,2,0,24,7.8,
8/4/18,Miller,B1,10:00,13:09,B,3,1,24,7.8,
8/4/18,Miller,B1,10:00,13:09,B,4,1,24,7.8,
8/4/18,Miller,B1,10:00,13:09,B,5,1,24,7.8,
8/4/18,Miller,B1,10:00,13:09,B,6,0,24,7.8,
8/4/18,Miller,B1,10:00,13:09,C,1,1,24,7.5,
8/4/18,Miller,B1,10:00,13:09,C,2,1,24,7.5,
8/4/18,Miller,B1,10:00,13:09,C,3,1,24,7.5,
8/4/18,Miller,B1,10:00,13:09,C,4,1,24,7.5,
8/4/18,Miller,B1,10:00,13:09,C,5,1,24,7.5,
8/4/18,Miller,B1,10:00,13:09,C,6,1,24,7.5,
8/4/18,Miller,B1,10:00,13:09,D,1,1,24,7.5,
8/4/18,Miller,B1,10:00,13:09,D,2,1,24,7.5,
8/4/18,Miller,B1,10:00,13:09,D,3,1,24,7.5,
8/4/18,Miller,B1,10:00,13:09,D,4,2,24,7.5,
8/4/18,Miller,B1,10:00,13:09,D,5,0,24,7.5,
8/4/18,Miller,B1,10:00,13:09,D,6,1,24,7.5,
8/4/18,Miller,B2,10:00,13:09,A,1,1,24,8.2,
8/4/18,Miller,B2,10:00,13:09,A,2,3,24,8.2,
8/4/18,Miller,B2,10:00,13:09,A,3,0,24,8.2,
8/4/18,Miller,B2,10:00,13:09,A,4,3,24,8.2,
8/4/18,Miller,B2,10:00,13:09,A,5,1,24,8.2,
8/4/18,Miller,B2,10:00,13:09,A,6,3,24,8.2,
8/4/18,Miller,B2,10:00,13:09,B,1,1,24,7.8,
8/4/18,Miller,B2,10:00,13:09,B,2,2,24,7.8,
8/4/18,Miller,B2,10:00,13:09,B,3,0,24,7.8,
8/4/18,Miller,B2,10:00,13:09,B,4,1,24,7.8,
8/4/18,Miller,B2,10:00,13:09,B,5,1,24,7.8,
8/4/18,Miller,B2,10:00,13:09,B,6,2,24,7.8,
8/4/18,Miller,B2,10:00,13:09,C,1,1,24,7.5,
8/4/18,Miller,B2,10:00,13:09,C,2,1,24,7.5,
8/4/18,Miller,B2,10:00,13:09,C,3,1,24,7.5,
8/4/18,Miller,B2,10:00,13:09,C,4,0,24,7.5,
8/4/18,Miller,B2,10:00,13:09,C,5,3,24,7.5,
8/4/18,Miller,B2,10:00,13:09,C,6,0,24,7.5,
8/4/18,Miller,B2,10:00,13:09,D,1,1,24,7.8,
8/4/18,Miller,B2,10:00,13:09,D,2,1,24,7.8,
8/4/18,Miller,B2,10:00,13:09,D,3,1,24,7.8,
8/4/18,Miller,B2,10:00,13:09,D,4,1,24,7.8,
8/4/18,Miller,B2,10:00,13:09,D,5,1,24,7.8,
8/4/18,Miller,B2,10:00,13:09,D,6,1,24,7.8,
8/4/18,Miller,D,10:00,13:09,A,1,1,24,8.2,
8/4/18,Miller,D,10:00,13:09,A,2,0,24,8.2,
8/4/18,Miller,D,10:00,13:09,A,3,3,24,8.2,
8/4/18,Miller,D,10:00,13:09,A,4,0,24,8.2,
8/4/18,Miller,D,10:00,13:09,A,5,1,24,8.2,
8/4/18,Miller,D,10:00,13:09,A,6,1,24,8.2,
8/4/18,Miller,D,10:00,13:09,B,1,1,24,7.8,
8/4/18,Miller,D,10:00,13:09,B,2,1,24,7.8,
8/4/18,Miller,D,10:00,13:09,B,3,0,24,7.8,
8/4/18,Miller,D,10:00,13:09,B,4,1,24,7.8,
8/4/18,Miller,D,10:00,13:09,B,5,1,24,7.8,
8/4/18,Miller,D,10:00,13:09,B,6,1,24,7.8,
8/4/18,Miller,D,10:00,13:09,C,1,3,24,7.5,
8/4/18,Miller,D,10:00,13:09,C,2,1,24,7.5,
8/4/18,Miller,D,10:00,13:09,C,3,0,24,7.5,
8/4/18,Miller,D,10:00,13:09,C,4,1,24,7.5,
8/4/18,Miller,D,10:00,13:09,C,5,1,24,7.5,
8/4/18,Miller,D,10:00,13:09,C,6,1,24,7.5,
8/4/18,Miller,B1,10:00,13:48,A,1,0,24,8.2,
8/4/18,Miller,B1,10:00,13:48,A,2,3,24,8.2,
8/4/18,Miller,B1,10:00,13:48,A,3,1,24,8.2,
8/4/18,Miller,B1,10:00,13:48,A,4,0,24,8.2,
8/4/18,Miller,B1,10:00,13:48,A,5,1,24,8.2,
8/4/18,Miller,B1,10:00,13:48,A,6,1,24,8.2,
8/4/18,Miller,B1,10:00,13:48,B,1,3,24,7.8,
8/4/18,Miller,B1,10:00,13:48,B,2,0,24,7.8,
8/4/18,Miller,B1,10:00,13:48,B,3,1,24,7.8,
8/4/18,Miller,B1,10:00,13:48,B,4,1,24,7.8,
8/4/18,Miller,B1,10:00,13:48,B,5,0,24,7.8,
8/4/18,Miller,B1,10:00,13:48,B,6,1,24,7.8,
8/4/18,Miller,B1,10:00,13:48,C,1,1,24,7.5,
8/4/18,Miller,B1,10:00,13:48,C,2,1,24,7.5,
8/4/18,Miller,B1,10:00,13:48,C,3,0,24,7.5,
8/4/18,Miller,B1,10:00,13:48,C,4,1,24,7.5,
8/4/18,Miller,B1,10:00,13:48,C,5,1,24,7.5,
8/4/18,Miller,B1,10:00,13:48,C,6,1,24,7.5,
8/4/18,Miller,B1,10:00,13:48,D,1,0,24,7.5,
8/4/18,Miller,B1,10:00,13:48,D,2,1,24,7.5,
8/4/18,Miller,B1,10:00,13:48,D,3,1,24,7.5,
8/4/18,Miller,B1,10:00,13:48,D,4,3,24,7.5,
8/4/18,Miller,B1,10:00,13:48,D,5,0,24,7.5,
8/4/18,Miller,B1,10:00,13:48,D,6,1,24,7.5,
8/4/18,Miller,B2,10:00,13:48,A,1,1,24,8.2,
8/4/18,Miller,B2,10:00,13:48,A,2,3,24,8.2,
8/4/18,Miller,B2,10:00,13:48,A,3,1,24,8.2,
8/4/18,Miller,B2,10:00,13:48,A,4,3,24,8.2,
8/4/18,Miller,B2,10:00,13:48,A,5,1,24,8.2,
8/4/18,Miller,B2,10:00,13:48,A,6,4,24,8.2,
8/4/18,Miller,B2,10:00,13:48,B,1,2,24,7.8,
8/4/18,Miller,B2,10:00,13:48,B,2,2,24,7.8,
8/4/18,Miller,B2,10:00,13:48,B,3,1,24,7.8,
8/4/18,Miller,B2,10:00,13:48,B,4,1,24,7.8,
8/4/18,Miller,B2,10:00,13:48,B,5,0,24,7.8,
8/4/18,Miller,B2,10:00,13:48,B,6,0,24,7.8,
8/4/18,Miller,B2,10:00,13:48,C,1,2,24,7.5,
8/4/18,Miller,B2,10:00,13:48,C,2,1,24,7.5,
8/4/18,Miller,B2,10:00,13:48,C,3,1,24,7.5,
8/4/18,Miller,B2,10:00,13:48,C,4,1,24,7.5,
8/4/18,Miller,B2,10:00,13:48,C,5,4,24,7.5,
8/4/18,Miller,B2,10:00,13:48,C,6,2,24,7.5,
8/4/18,Miller,B2,10:00,13:48,D,1,1,24,7.8,
8/4/18,Miller,B2,10:00,13:48,D,2,1,24,7.8,
8/4/18,Miller,B2,10:00,13:48,D,3,1,24,7.8,
8/4/18,Miller,B2,10:00,13:48,D,4,1,24,7.8,
8/4/18,Miller,B2,10:00,13:48,D,5,1,24,7.8,
8/4/18,Miller,B2,10:00,13:48,D,6,0,24,7.8,
8/4/18,Miller,D,10:00,13:48,A,1,1,24,8.2,
8/4/18,Miller,D,10:00,13:48,A,2,1,24,8.2,
8/4/18,Miller,D,10:00,13:48,A,3,3,24,8.2,
8/4/18,Miller,D,10:00,13:48,A,4,0,24,8.2,
8/4/18,Miller,D,10:00,13:48,A,5,1,24,8.2,
8/4/18,Miller,D,10:00,13:48,A,6,1,24,8.2,
8/4/18,Miller,D,10:00,13:48,B,1,1,24,7.8,
8/4/18,Miller,D,10:00,13:48,B,2,1,24,7.8,
8/4/18,Miller,D,10:00,13:48,B,3,2,24,7.8,
8/4/18,Miller,D,10:00,13:48,B,4,1,24,7.8,
8/4/18,Miller,D,10:00,13:48,B,5,1,24,7.8,
8/4/18,Miller,D,10:00,13:48,B,6,1,24,7.8,
8/4/18,Miller,D,10:00,13:48,C,1,3,24,7.5,
8/4/18,Miller,D,10:00,13:48,C,2,0,24,7.5,
8/4/18,Miller,D,10:00,13:48,C,3,0,24,7.5,
8/4/18,Miller,D,10:00,13:48,C,4,1,24,7.5,
8/4/18,Miller,D,10:00,13:48,C,5,3,24,7.5,
8/4/18,Miller,D,10:00,13:48,C,6,1,24,7.5,
8/4/18,Miller,B1,10:00,14:27,A,1,1,24,8.2,
8/4/18,Miller,B1,10:00,14:27,A,2,3,24,8.2,
8/4/18,Miller,B1,10:00,14:27,A,3,1,24,8.2,
8/4/18,Miller,B1,10:00,14:27,A,4,0,24,8.2,
8/4/18,Miller,B1,10:00,14:27,A,5,0,24,8.2,
8/4/18,Miller,B1,10:00,14:27,A,6,1,24,8.2,
8/4/18,Miller,B1,10:00,14:27,B,1,3,24,7.8,
8/4/18,Miller,B1,10:00,14:27,B,2,1,24,7.8,
8/4/18,Miller,B1,10:00,14:27,B,3,1,24,7.8,
8/4/18,Miller,B1,10:00,14:27,B,4,1,24,7.8,
8/4/18,Miller,B1,10:00,14:27,B,5,1,24,7.8,
8/4/18,Miller,B1,10:00,14:27,B,6,1,24,7.8,
8/4/18,Miller,B1,10:00,14:27,C,1,1,24,7.5,
8/4/18,Miller,B1,10:00,14:27,C,2,1,24,7.5,
8/4/18,Miller,B1,10:00,14:27,C,3,1,24,7.5,
8/4/18,Miller,B1,10:00,14:27,C,4,1,24,7.5,
8/4/18,Miller,B1,10:00,14:27,C,5,0,24,7.5,
8/4/18,Miller,B1,10:00,14:27,C,6,1,24,7.5,
8/4/18,Miller,B1,10:00,14:27,D,1,0,24,7.5,
8/4/18,Miller,B1,10:00,14:27,D,2,1,24,7.5,
8/4/18,Miller,B1,10:00,14:27,D,3,1,24,7.5,
8/4/18,Miller,B1,10:00,14:27,D,4,3,24,7.5,
8/4/18,Miller,B1,10:00,14:27,D,5,0,24,7.5,
8/4/18,Miller,B1,10:00,14:27,D,6,1,24,7.5,
8/4/18,Miller,B2,10:00,14:27,A,1,1,24,8.2,
8/4/18,Miller,B2,10:00,14:27,A,2,3,24,8.2,
8/4/18,Miller,B2,10:00,14:27,A,3,1,24,8.2,
8/4/18,Miller,B2,10:00,14:27,A,4,4,24,8.2,
8/4/18,Miller,B2,10:00,14:27,A,5,1,24,8.2,
8/4/18,Miller,B2,10:00,14:27,A,6,3,24,8.2,
8/4/18,Miller,B2,10:00,14:27,B,1,3,24,7.8,
8/4/18,Miller,B2,10:00,14:27,B,2,4,24,7.8,
8/4/18,Miller,B2,10:00,14:27,B,3,1,24,7.8,
8/4/18,Miller,B2,10:00,14:27,B,4,1,24,7.8,
8/4/18,Miller,B2,10:00,14:27,B,5,1,24,7.8,
8/4/18,Miller,B2,10:00,14:27,B,6,4,24,7.8,
8/4/18,Miller,B2,10:00,14:27,C,1,1,24,7.5,
8/4/18,Miller,B2,10:00,14:27,C,2,1,24,7.5,
8/4/18,Miller,B2,10:00,14:27,C,3,1,24,7.5,
8/4/18,Miller,B2,10:00,14:27,C,4,1,24,7.5,
8/4/18,Miller,B2,10:00,14:27,C,5,4,24,7.5,
8/4/18,Miller,B2,10:00,14:27,C,6,1,24,7.5,
8/4/18,Miller,B2,10:00,14:27,D,1,1,24,7.8,
8/4/18,Miller,B2,10:00,14:27,D,2,1,24,7.8,
8/4/18,Miller,B2,10:00,14:27,D,3,1,24,7.8,
8/4/18,Miller,B2,10:00,14:27,D,4,1,24,7.8,
8/4/18,Miller,B2,10:00,14:27,D,5,1,24,7.8,
8/4/18,Miller,B2,10:00,14:27,D,6,1,24,7.8,
8/4/18,Miller,D,10:00,14:27,A,1,2,24,8.2,
8/4/18,Miller,D,10:00,14:27,A,2,1,24,8.2,
8/4/18,Miller,D,10:00,14:27,A,3,3,24,8.2,
8/4/18,Miller,D,10:00,14:27,A,4,0,24,8.2,
8/4/18,Miller,D,10:00,14:27,A,5,2,24,8.2,
8/4/18,Miller,D,10:00,14:27,A,6,0,24,8.2,
8/4/18,Miller,D,10:00,14:27,B,1,1,24,7.8,
8/4/18,Miller,D,10:00,14:27,B,2,2,24,7.8,
8/4/18,Miller,D,10:00,14:27,B,3,1,24,7.8,
8/4/18,Miller,D,10:00,14:27,B,4,0,24,7.8,
8/4/18,Miller,D,10:00,14:27,B,5,1,24,7.8,
8/4/18,Miller,D,10:00,14:27,B,6,2,24,7.8,
8/4/18,Miller,D,10:00,14:27,C,1,3,24,7.5,
8/4/18,Miller,D,10:00,14:27,C,2,3,24,7.5,
8/4/18,Miller,D,10:00,14:27,C,3,1,24,7.5,
8/4/18,Miller,D,10:00,14:27,C,4,1,24,7.5,
8/4/18,Miller,D,10:00,14:27,C,5,2,24,7.5,
8/4/18,Miller,D,10:00,14:27,C,6,0,24,7.5,
8/4/18,Miller,B1,10:00,15:05,A,1,1,24,8.2,
8/4/18,Miller,B1,10:00,15:05,A,2,4,24,8.2,
8/4/18,Miller,B1,10:00,15:05,A,3,1,24,8.2,
8/4/18,Miller,B1,10:00,15:05,A,4,1,24,8.2,
8/4/18,Miller,B1,10:00,15:05,A,5,0,24,8.2,
8/4/18,Miller,B1,10:00,15:05,A,6,1,24,8.2,
8/4/18,Miller,B1,10:00,15:05,B,1,1,24,7.8,
8/4/18,Miller,B1,10:00,15:05,B,2,4,24,7.8,
8/4/18,Miller,B1,10:00,15:05,B,3,1,24,7.8,
8/4/18,Miller,B1,10:00,15:05,B,4,1,24,7.8,
8/4/18,Miller,B1,10:00,15:05,B,5,1,24,7.8,
8/4/18,Miller,B1,10:00,15:05,B,6,0,24,7.8,
8/4/18,Miller,B1,10:00,15:05,C,1,1,24,7.5,
8/4/18,Miller,B1,10:00,15:05,C,2,2,24,7.5,
8/4/18,Miller,B1,10:00,15:05,C,3,1,24,7.5,
8/4/18,Miller,B1,10:00,15:05,C,4,1,24,7.5,
8/4/18,Miller,B1,10:00,15:05,C,5,1,24,7.5,
8/4/18,Miller,B1,10:00,15:05,C,6,1,24,7.5,
8/4/18,Miller,B1,10:00,15:05,D,1,1,24,7.5,
8/4/18,Miller,B1,10:00,15:05,D,2,1,24,7.5,
8/4/18,Miller,B1,10:00,15:05,D,3,1,24,7.5,
8/4/18,Miller,B1,10:00,15:05,D,4,3,24,7.5,
8/4/18,Miller,B1,10:00,15:05,D,5,2,24,7.5,
8/4/18,Miller,B1,10:00,15:05,D,6,1,24,7.5,
8/4/18,Miller,B2,10:00,15:05,A,1,1,24,8.2,
8/4/18,Miller,B2,10:00,15:05,A,2,3,24,8.2,
8/4/18,Miller,B2,10:00,15:05,A,3,2,24,8.2,
8/4/18,Miller,B2,10:00,15:05,A,4,4,24,8.2,
8/4/18,Miller,B2,10:00,15:05,A,5,1,24,8.2,
8/4/18,Miller,B2,10:00,15:05,A,6,4,24,8.2,
8/4/18,Miller,B2,10:00,15:05,B,1,3,24,7.8,
8/4/18,Miller,B2,10:00,15:05,B,2,4,24,7.8,
8/4/18,Miller,B2,10:00,15:05,B,3,1,24,7.8,
8/4/18,Miller,B2,10:00,15:05,B,4,1,24,7.8,
8/4/18,Miller,B2,10:00,15:05,B,5,0,24,7.8,
8/4/18,Miller,B2,10:00,15:05,B,6,3,24,7.8,
8/4/18,Miller,B2,10:00,15:05,C,1,1,24,7.5,
8/4/18,Miller,B2,10:00,15:05,C,2,1,24,7.5,
8/4/18,Miller,B2,10:00,15:05,C,3,1,24,7.5,
8/4/18,Miller,B2,10:00,15:05,C,4,1,24,7.5,
8/4/18,Miller,B2,10:00,15:05,C,5,4,24,7.5,
8/4/18,Miller,B2,10:00,15:05,C,6,0,24,7.5,
8/4/18,Miller,B2,10:00,15:05,D,1,1,24,7.8,
8/4/18,Miller,B2,10:00,15:05,D,2,1,24,7.8,
8/4/18,Miller,B2,10:00,15:05,D,3,1,24,7.8,
8/4/18,Miller,B2,10:00,15:05,D,4,1,24,7.8,
8/4/18,Miller,B2,10:00,15:05,D,5,1,24,7.8,
8/4/18,Miller,B2,10:00,15:05,D,6,1,24,7.8,
8/4/18,Miller,D,10:00,15:05,A,1,1,24,8.2,
8/4/18,Miller,D,10:00,15:05,A,2,1,24,8.2,
8/4/18,Miller,D,10:00,15:05,A,3,3,24,8.2,
8/4/18,Miller,D,10:00,15:05,A,4,1,24,8.2,
8/4/18,Miller,D,10:00,15:05,A,5,1,24,8.2,
8/4/18,Miller,D,10:00,15:05,A,6,1,24,8.2,
8/4/18,Miller,D,10:00,15:05,B,1,1,24,7.8,
8/4/18,Miller,D,10:00,15:05,B,2,1,24,7.8,
8/4/18,Miller,D,10:00,15:05,B,3,2,24,7.8,
8/4/18,Miller,D,10:00,15:05,B,4,3,24,7.8,
